id,name,lat,long,
1,Checkpoint_A,13.122429331737106, 100.91919964513887
2,Checkpoint_B,13.120161658260738, 100.9207100013017
3,Checkpoint_C,13.118751724113698, 100.92070378074456
4,Checkpoint_D,13.123504977995106, 100.91833176340029
5,Checkpoint_E,13.11925987837743, 100.91986438395534
6,Checkpoint_F,13.11878571527889, 100.92146159792323
7,Checkpoint_G,13.124953720965747, 100.91990487272771
8,Checkpoint_H,13.120058234891316, 100.92069368409793
9,Checkpoint_I,13.119293545457573, 100.92099266754671
10,Checkpoint_J,13.118888523841443, 100.92098073668383
